CarID,Make,Model,Year,Mileage,VIN,EngineType,TransmissionType,FuelType
1,ford,lanos,2018,67873,RT3GZYSKXXNDZ9J97,6-Cylinder,Manual,Diesel
2,land rover,s90,2002,79511,K75MX7NU0LDXVG416,8-Cylinder,Manual,Gasoline
3,gmc,s40,1992,57263,YMFL5CEF90V66LZY7,4-Cylinder,CVT,Hybrid
4,chevrolet,tacoma access cab,2008,36633,8MDJV6RL6FJBCB3GX,2-Cylinder,Automatic,Diesel
5,audi,tt,1995,184856,036SHFDT6HVYN6L8Y,6-Cylinder,CVT,Hybrid
6,dodge,b-series regular cab,2016,191321,CF2H8EPA3MU470E35,2-Cylinder,Automatic,Diesel
7,ford,mazda5,1998,146751,8S6P832C4B8XD42U7,10-Cylinder+,Manual,Gasoline
8,ferrari,aztek,2001,82889,E5KNUB4Z3W37SCGNX,10-Cylinder+,CVT,Diesel
9,volkswagen,caprice classic,1998,116049,D4AAMG8V1B1XTZKNR,10-Cylinder+,CVT,Hybrid
10,dodge,xk,2018,143838,01W6M3H90FXNJN9KR,8-Cylinder,Manual,Gasoline
11,volvo,ilx,2002,186188,1CMAFEVR5T3ST3AV5,4-Cylinder,CVT,Diesel
12,acura,savana 3500 passenger,2006,63939,VY13YLKW44TC691ST,4-Cylinder,Automatic,Diesel
13,gmc,86,2012,148769,117C8CKH8B7XS62HV,10-Cylinder+,Automatic,Hybrid
14,mercedes-benz,element,2014,142341,9N80H2336DGLP3YWU,4-Cylinder,CVT,Diesel
15,mercedes-benz,sequoia,2017,83900,DRJ190HM2MP6M33HA,3-Cylinder,CVT,Hybrid
16,ford,dakota club cab,2016,79022,PS9J8XF41KB5KSMKT,2-Cylinder,Automatic,Electric
17,cadillac,cayenne,2015,143508,XMM8X8YU03KM0AR65,10-Cylinder+,Automatic,Diesel
18,mitsubishi,mustang,2012,158121,E4R17SJV8YDU6PEGA,5-Cylinder,Automatic,Hybrid
19,plymouth,g-class,2000,24020,852VC8YS1GD3D07CW,5-Cylinder,Manual,Diesel
20,ford,s4,1992,63466,7Y0SUYLY3YCE1MLL3,6-Cylinder,Automatic,Hybrid
21,subaru,prius c,2012,48950,0RJX56352E93K1VMA,10-Cylinder+,Automatic,Electric
