FeatureID,CarID,FeatureName,FeatureValue
1,1714,Power Windows,No
2,880,Backup Camera,No
3,264,Cruise Control,Yes
4,1512,Power Windows,Yes
5,344,Power Windows,Yes
6,748,ABS,No
7,866,Backup Camera,No
8,83,Cruise Control,Yes
9,1366,Cruise Control,No
10,499,Cruise Control,Yes
11,1637,Power Windows,Yes
12,65,Power Windows,No
13,390,Air Conditioning,Yes
14,1337,Cruise Control,No
15,28,Power Windows,Yes
16,258,Bluetooth,Yes
17,1496,Cruise Control,Yes
18,280,Cruise Control,No
19,1847,Power Windows,No
20,424,ABS,Yes
21,224,Bluetooth,No
22,1261,ABS,Yes
23,1932,Air Conditioning,Yes
24,1453,Backup Camera,Yes
25,1963,Bluetooth,No
26,387,Power Windows,No
27,1129,Bluetooth,Yes
28,991,Air Conditioning,Yes
29,1575,Cruise Control,Yes
30,1587,Air Conditioning,No
31,427,Power Windows,No
32,489,Air Conditioning,No
33,1263,Backup Camera,Yes
34,1773,Air Conditioning,No
35,1283,Air Conditioning,No
36,1277,Bluetooth,Yes
37,1834,ABS,No
38,144,Bluetooth,No
39,449,ABS,No
40,1464,Cruise Control,Yes
41,193,Power Windows,Yes
42,351,Bluetooth,Yes
43,1609,Bluetooth,No
44,250,Backup Camera,No
45,1724,Air Conditioning,No
46,920,ABS,No
47,1479,Cruise Control,Yes
48,1853,Backup Camera,No
49,74,Backup Camera,Yes
50,1294,Power Windows,Yes
51,145,Power Windows,Yes
52,754,Backup Camera,Yes
53,378,Cruise Control,No
54,1600,Power Windows,Yes
55,522,Air Conditioning,Yes
56,551,Power Windows,Yes
57,1227,Power Windows,No
58,867,Bluetooth,No
59,1124,Backup Camera,Yes
60,1359,ABS,No
61,223,Cruise Control,Yes
62,1626,Bluetooth,No
63,1527,ABS,Yes
64,1708,ABS,No
65,1953,Backup Camera,Yes
66,1367,Air Conditioning,Yes
67,807,Cruise Control,No
68,1384,Bluetooth,No
69,1516,Backup Camera,Yes
70,1541,Backup Camera,No
71,1597,Air Conditioning,Yes
72,205,Bluetooth,No
73,742,Power Windows,No
74,1715,Air Conditioning,No
75,1921,Backup Camera,No
76,1809,Bluetooth,Yes
77,1373,ABS,No
78,228,ABS,No
79,664,Air Conditioning,No
80,1855,Power Windows,Yes
81,745,Backup Camera,No
82,951,Bluetooth,No
83,885,ABS,No
84,591,Bluetooth,Yes
85,356,ABS,Yes
86,1676,Backup Camera,No
87,1324,Bluetooth,Yes
88,1381,Power Windows,No
89,518,Bluetooth,Yes
90,1728,Backup Camera,Yes
91,1660,Power Windows,No
92,1254,Air Conditioning,No
93,87,ABS,Yes
94,1868,Power Windows,No
95,947,Bluetooth,Yes
96,1038,Air Conditioning,Yes
97,87,Backup Camera,Yes
98,451,Air Conditioning,No
99,189,ABS,No
100,193,Cruise Control,No
101,1773,Power Windows,No
102,1001,Bluetooth,Yes
103,1544,Power Windows,No
104,1599,Bluetooth,Yes
105,1241,Backup Camera,Yes
106,1321,Air Conditioning,No
107,1631,ABS,Yes
108,703,Power Windows,Yes
109,992,Air Conditioning,No
110,1421,Power Windows,No
111,982,Power Windows,No
112,815,ABS,Yes
113,1917,Cruise Control,Yes
114,1067,Bluetooth,Yes
115,263,Power Windows,Yes
116,467,ABS,No
117,1635,Bluetooth,No
118,940,Air Conditioning,No
119,1784,Backup Camera,Yes
120,770,Bluetooth,No
121,1232,Bluetooth,Yes
122,581,Power Windows,No
123,1487,Air Conditioning,Yes
124,1417,Backup Camera,No
125,1735,Air Conditioning,No
126,1376,Backup Camera,Yes
127,1168,Power Windows,No
128,764,Backup Camera,No
129,335,Cruise Control,No
130,307,Bluetooth,Yes
131,1989,Air Conditioning,No
132,780,Bluetooth,No
133,1793,Air Conditioning,No
134,467,Air Conditioning,Yes
135,111,Backup Camera,Yes
136,1766,Air Conditioning,Yes
137,365,Backup Camera,Yes
138,1204,Air Conditioning,No
139,1379,Cruise Control,Yes
140,563,Power Windows,No
141,467,Cruise Control,Yes
142,865,Power Windows,No
143,1741,Backup Camera,No
144,781,ABS,Yes
145,300,ABS,No
146,73,Power Windows,Yes
147,683,Cruise Control,Yes
148,351,Backup Camera,No
149,1562,Power Windows,No
150,859,Backup Camera,Yes
151,1138,ABS,Yes
152,1307,Air Conditioning,No
153,392,Power Windows,No
154,710,ABS,Yes
155,739,Cruise Control,Yes
156,520,ABS,No
157,374,Power Windows,Yes
158,518,ABS,No
159,221,Air Conditioning,No
160,122,Backup Camera,No
161,1207,Power Windows,Yes
162,366,Bluetooth,Yes
163,1267,Bluetooth,Yes
164,1576,Air Conditioning,Yes
165,248,Power Windows,Yes
166,1721,ABS,Yes
167,364,Backup Camera,No
168,756,Bluetooth,Yes
169,665,Power Windows,No
170,716,ABS,No
171,159,Bluetooth,Yes
172,910,Bluetooth,Yes
173,7,Backup Camera,No
174,308,ABS,Yes
175,1239,ABS,Yes
176,1161,Backup Camera,Yes
177,962,Power Windows,No
178,696,Cruise Control,No
179,1494,Cruise Control,Yes
180,1141,Bluetooth,No
181,1531,Backup Camera,Yes
182,494,ABS,No
183,1750,Cruise Control,No
184,895,Cruise Control,No
185,321,Cruise Control,Yes
186,999,Air Conditioning,Yes
187,863,ABS,No
188,734,Cruise Control,Yes
189,818,Power Windows,No
190,675,Power Windows,Yes
191,1887,Backup Camera,No
192,1414,ABS,No
193,372,Cruise Control,Yes
194,1060,Power Windows,Yes
195,1732,Cruise Control,Yes
196,246,ABS,No
197,620,ABS,No
198,736,Bluetooth,No
199,387,Air Conditioning,Yes
200,1444,Bluetooth,Yes
201,252,Air Conditioning,Yes
202,399,Bluetooth,Yes
203,1652,Backup Camera,Yes
204,254,Cruise Control,No
205,1970,Bluetooth,No
206,428,Power Windows,No
207,33,ABS,Yes
208,1367,ABS,Yes
209,1576,Backup Camera,Yes
210,45,Bluetooth,No
211,1117,Air Conditioning,Yes
212,522,Air Conditioning,No
213,1559,Cruise Control,No
214,1756,ABS,No
215,1379,ABS,Yes
216,1432,Cruise Control,Yes
217,1116,Bluetooth,No
218,1960,Power Windows,Yes
219,1480,Cruise Control,Yes
220,881,Power Windows,No
221,1910,Air Conditioning,Yes
222,249,Air Conditioning,No
223,1886,Cruise Control,Yes
224,1536,ABS,Yes
225,1556,Air Conditioning,No
226,1654,Air Conditioning,No
227,1001,Backup Camera,No
228,1831,Air Conditioning,No
229,1565,ABS,Yes
230,1402,Bluetooth,Yes
231,145,Air Conditioning,Yes
232,208,Backup Camera,Yes
233,846,Air Conditioning,Yes
234,7,Cruise Control,No
235,767,Backup Camera,Yes
236,960,ABS,Yes
237,1781,Bluetooth,No
238,1603,Backup Camera,No
239,941,Power Windows,No
240,332,Backup Camera,Yes
241,1703,Power Windows,No
242,253,Cruise Control,No
243,583,Bluetooth,No
244,1909,Power Windows,Yes
245,390,Power Windows,No
246,1516,Backup Camera,Yes
247,874,Cruise Control,Yes
248,1851,Bluetooth,Yes
249,908,Backup Camera,No
250,1123,Backup Camera,Yes
251,1853,Power Windows,No
252,1958,Backup Camera,No
253,1525,Cruise Control,Yes
254,153,Air Conditioning,Yes
255,65,Bluetooth,Yes
256,1755,Backup Camera,No
257,1152,Air Conditioning,No
258,896,ABS,Yes
259,1245,Cruise Control,No
260,916,Bluetooth,Yes
261,624,Backup Camera,Yes
262,1120,ABS,No
263,1434,Air Conditioning,Yes
264,477,Backup Camera,Yes
265,1183,Cruise Control,No
266,584,Air Conditioning,No
267,1158,Backup Camera,Yes
268,138,Cruise Control,Yes
269,1394,Power Windows,No
270,1652,Backup Camera,No
271,792,Bluetooth,No
272,313,Air Conditioning,Yes
273,628,Bluetooth,No
274,45,Backup Camera,Yes
275,202,Backup Camera,Yes
276,1475,Air Conditioning,No
277,1023,Power Windows,Yes
278,1757,ABS,Yes
279,158,Air Conditioning,Yes
280,1645,Power Windows,Yes
281,1028,Backup Camera,Yes
282,535,Backup Camera,No
283,535,Backup Camera,No
284,1520,ABS,No
285,52,Bluetooth,No
286,1878,ABS,No
287,1752,Power Windows,Yes
288,615,Backup Camera,No
289,1377,Power Windows,Yes
290,1328,Backup Camera,No
291,1084,Air Conditioning,Yes
292,1534,Bluetooth,Yes
293,1724,Bluetooth,No
294,322,Power Windows,Yes
295,1370,ABS,Yes
296,576,Air Conditioning,No
297,695,ABS,Yes
298,1555,Air Conditioning,No
299,1474,ABS,No
300,1300,Power Windows,No
301,1443,Backup Camera,No
302,374,Backup Camera,No
303,28,Bluetooth,Yes
304,97,Backup Camera,Yes
305,1867,ABS,No
306,331,Bluetooth,Yes
307,721,Bluetooth,Yes
308,402,Air Conditioning,Yes
309,40,Air Conditioning,Yes
310,1527,Backup Camera,No
311,786,Backup Camera,No
312,657,ABS,No
313,1260,Bluetooth,No
314,1666,Power Windows,Yes
315,1730,Cruise Control,No
316,529,Bluetooth,Yes
317,849,Air Conditioning,No
318,517,Cruise Control,No
319,1503,Air Conditioning,No
320,1770,Cruise Control,Yes
321,1480,Air Conditioning,Yes
322,32,Air Conditioning,No
323,41,ABS,No
324,606,Air Conditioning,No
325,1339,ABS,No
326,1877,Bluetooth,Yes
327,343,ABS,Yes
328,995,ABS,No
329,602,Air Conditioning,Yes
330,1384,ABS,Yes
331,1211,Cruise Control,No
332,1240,Cruise Control,No
333,1734,Bluetooth,Yes
