ServiceID,CarID,ServiceDate,ServiceType,Cost
1,984,2021-06-26,Tire Rotation,1376.0
2,799,2023-07-22,Tire Rotation,508.0
3,1341,2023-06-25,Oil Change,661.0
4,996,2024-01-11,Brake Inspection,365.0
5,503,2021-12-10,Tire Rotation,855.0
6,29,2023-04-03,Engine Tune-up,302.0
7,1801,2022-03-27,Tire Rotation,472.0
8,567,2021-12-01,Brake Inspection,1426.0
9,1694,2021-10-22,Tire Rotation,1127.0
10,311,2022-05-04,Tire Rotation,659.0
11,1479,2021-04-07,Oil Change,1109.0
12,1875,2023-02-17,Tire Rotation,1477.0
13,560,2022-06-07,Brake Inspection,1487.0
14,550,2022-02-07,Engine Tune-up,1330.0
15,1599,2023-05-26,Oil Change,1435.0
16,1076,2021-09-15,Oil Change,568.0
17,1913,2021-11-26,Engine Tune-up,127.0
18,1662,2022-11-18,Tire Rotation,979.0
19,1503,2022-11-23,Brake Inspection,534.0
20,9,2022-08-07,Oil Change,1178.0
21,1297,2023-08-15,Brake Inspection,213.0
22,1310,2024-01-08,Brake Inspection,237.0
23,1645,2021-06-22,Tire Rotation,1273.0
24,1956,2023-06-26,Oil Change,462.0
25,1204,2023-06-29,Engine Tune-up,1170.0
26,1508,2022-11-15,Brake Inspection,1400.0
27,589,2023-08-22,Brake Inspection,1318.0
28,903,2022-11-09,Brake Inspection,541.0
29,480,2023-01-08,Oil Change,1393.0
30,1393,2022-11-13,Oil Change,414.0
31,1353,2022-08-29,Tire Rotation,510.0
32,674,2023-06-08,Brake Inspection,51.0
33,1101,2022-08-08,Brake Inspection,914.0
34,662,2023-02-01,Tire Rotation,368.0
35,948,2022-07-09,Oil Change,1408.0
36,1660,2023-02-09,Tire Rotation,1269.0
37,948,2022-07-07,Brake Inspection,1144.0
38,1489,2022-04-19,Engine Tune-up,476.0
39,224,2022-11-02,Oil Change,513.0
40,87,2023-07-09,Engine Tune-up,504.0
41,424,2023-05-23,Oil Change,979.0
42,57,2023-12-28,Brake Inspection,67.0
43,721,2022-08-22,Oil Change,568.0
44,557,2023-06-22,Tire Rotation,574.0
45,1593,2022-11-27,Oil Change,438.0
46,1711,2023-08-03,Oil Change,275.0
47,346,2022-05-22,Tire Rotation,213.0
48,1980,2023-02-11,Tire Rotation,524.0
49,1955,2021-11-13,Brake Inspection,154.0
50,1539,2022-11-18,Oil Change,1157.0
51,1048,2022-04-23,Brake Inspection,988.0
52,900,2023-06-26,Oil Change,494.0
53,1317,2023-02-10,Engine Tune-up,155.0
54,364,2022-09-27,Tire Rotation,507.0
55,686,2021-05-30,Oil Change,1152.0
56,522,2022-12-23,Brake Inspection,1269.0
57,89,2023-11-04,Brake Inspection,1044.0
58,256,2021-09-08,Tire Rotation,1261.0
